order_id,customer_name,region,product,order_date,quantity,unit_price,currency,status
ORD102724,Bouygues,North America,Medical Kit,2024-11-09,ten,250.0,usd,Cancelled
ORD107767,EDF,Europe,Concrete Mix,2023-08-03,-5,,EUR,PENDING
ORD100080,VINCI ,EUROPE,Concrete Mix,2023-02-08,20,unknown,EUR,Delivered
ORD105584,Sanofi,Europe,solar panel,2023-12-25,50,0,EUR,Cancelled
ORD101953,edf,APAC,Concrete Mix,2023-07-22,,100.5,usd,Delivered
ORD103393,Bouygues,EUROPE,solar panel,2023-07-05,100,100.5,,Cancelled
ORD108857,sanofi,,Medical Kit,2024-04-13,20,999.99,USD,PENDING
ORD104010,VINCI ,,Gas Valve,2023-11-18,,999.99,usd,Cancelled
ORD106727,,EU,Medical Kit,2023-04-12,-5,100.5,USD,delivered
ORD101310,EDF,EUROPE,Wind Turbine,2023-10-18,100,999.99,EUR,Cancelled
ORD109923,Bouygues,EU,Solar Panel,2024-05-13,50,0,usd,
ORD108265,edf,apac,Gas Valve,2024-05-30,ten,250.0,usd,PENDING
ORD100119,sanofi,APAC,solar panel,2024-02-23,,0,USD,Cancelled
ORD103889,,North America,Medical Kit,2024-03-04,,-20,,Pending
ORD104779,Vinci,,solar panel,2024-08-21,50,unknown,USD,PENDING
ORD106843,,NA,Medical Kit,2024-11-22,20,0,usd,PENDING
ORD103208,Vinci,,Wind Turbine,2024-04-10,100,999.99,USD,
ORD108827,Sanofi,NA,Concrete Mix,2023-01-15,ten,unknown,EUR,Delivered
ORD108479,Sanofi,North America,Medical Kit,32/13/2023,-5,0,eur,
ORD104972,Air Liquide,North America,Solar Panel,2024-06-02,20,-20,usd,PENDING
ORD107581,Vinci,EU,Medical Kit,2024-11-23,20,999.99,eur,Pending
ORD103538,Vinci,,Medical Kit,2023-09-02,ten,unknown,,
ORD102515,Sanofi,,Solar Panel,2023-08-27,100,unknown,eur,delivered
ORD107881,VINCI ,EU,Gas Valve,2023-05-13,,unknown,,Pending
ORD102189,VINCI ,North America,Wind Turbine,2024-06-30,ten,0,USD,
ORD105729,Total Energies,North America,Medical Kit,2023-03-05,10,999.99,eur,Cancelled
ORD103869,edf,APAC,Solar Panel,2023-04-06,10,999.99,usd,PENDING
ORD107722,Vinci,apac,Concrete Mix,2024-05-19,10,999.99,USD,
ORD101145,sanofi,,solar panel,2024-09-17,ten,250.0,,delivered
ORD101453,Sanofi,,Concrete Mix,32/13/2023,ten,250.0,,
ORD107709,Total Energies,NA,solar panel,2024-04-09,,100.5,EUR,Delivered
ORD102319,EDF,Europe,solar panel,2023-11-02,100,250.0,EUR,PENDING
ORD103350,Vinci,,Gas Valve,2023-06-18,-5,250.0,USD,Cancelled
ORD102960,Total Energies,North America,Medical Kit,2024-08-09,100,0,eur,PENDING
ORD104518,Air Liquide,,Solar Panel,2024-04-26,-5,,,delivered
ORD101458,edf,EU,Wind Turbine,2023-08-06,20,100.5,eur,
ORD100304,,North America,Medical Kit,2024-09-29,-5,unknown,eur,
ORD109084,Air Liquide,EUROPE,Solar Panel,2023-04-07,-5,-20,,PENDING
ORD100321,edf,APAC,Concrete Mix,2023-07-20,50,250.0,eur,Delivered
ORD103397,Vinci,,Wind Turbine,2024-05-30,10,999.99,USD,delivered
ORD105386,sanofi,Europe,solar panel,2024-04-27,100,250.0,eur,
ORD104768,VINCI ,EU,Solar Panel,2024-10-09,50,,USD,PENDING
ORD108312,Bouygues,North America,Medical Kit,2023-10-16,,,usd,delivered
ORD101543,VINCI ,Europe,Medical Kit,2024-09-20,20,unknown,,delivered
ORD102045,Total Energies,Europe,Gas Valve,2024-10-12,-5,250.0,eur,PENDING
ORD101355,VINCI ,,Concrete Mix,2024-06-06,ten,,USD,
ORD100621,,apac,Wind Turbine,2023-02-22,20,-20,eur,delivered
ORD102252,Vinci,NA,Solar Panel,2024-11-29,100,100.5,,delivered
ORD108086,Bouygues,EUROPE,Concrete Mix,32/13/2023,50,100.5,EUR,delivered
ORD102684,Air Liquide,EUROPE,solar panel,2023-04-12,ten,0,,
ORD104850,Air Liquide,apac,Solar Panel,2024-07-26,10,0,usd,Cancelled
ORD109809,edf,APAC,Concrete Mix,2024-10-10,,unknown,eur,Cancelled
ORD103401,Air Liquide,,Wind Turbine,2023-09-25,50,-20,usd,PENDING
ORD102157,Sanofi,EU,Gas Valve,2024-10-03,100,-20,USD,
ORD105356,Vinci,APAC,Wind Turbine,2023-06-12,,250.0,,delivered
ORD103909,edf,APAC,Gas Valve,2023-02-22,100,-20,USD,
ORD106855,Vinci,EU,Solar Panel,2024-11-05,20,unknown,eur,delivered
ORD104228,Sanofi,Europe,Medical Kit,2023-09-20,50,,eur,delivered
ORD105994,Bouygues,North America,solar panel,2023-07-12,50,999.99,usd,Delivered
ORD107001,sanofi,North America,Wind Turbine,2023-05-13,10,-20,,Pending
ORD103745,VINCI ,NA,Wind Turbine,2024-11-01,50,999.99,eur,
ORD101022,Total Energies,EUROPE,Concrete Mix,2024-05-15,50,unknown,USD,
ORD106382,Sanofi,NA,solar panel,32/13/2023,20,250.0,eur,
ORD107269,VINCI ,EUROPE,Wind Turbine,2023-08-23,ten,unknown,EUR,delivered
ORD103209,Vinci,APAC,Solar Panel,2024-02-04,-5,0,usd,Delivered
ORD103071,VINCI ,apac,Concrete Mix,2024-10-16,10,999.99,,Pending
ORD107582,sanofi,Europe,solar panel,2024-03-23,ten,unknown,,
ORD108083,Total Energies,NA,Solar Panel,2023-11-17,100,999.99,USD,
ORD103602,Bouygues,North America,Concrete Mix,2023-09-27,ten,0,eur,PENDING
ORD105333,sanofi,,Gas Valve,2024-11-20,20,250.0,eur,
ORD102254,Air Liquide,EU,Solar Panel,32/13/2023,50,100.5,,Pending
ORD100373,VINCI ,North America,Gas Valve,2023-05-25,10,999.99,EUR,PENDING
ORD109356,edf,NA,Medical Kit,2023-12-19,10,-20,USD,delivered
ORD101833,Vinci,apac,Concrete Mix,32/13/2023,,,USD,
ORD108688,Sanofi,,Gas Valve,2023-01-06,,100.5,USD,Cancelled
ORD102519,VINCI ,NA,Solar Panel,2024-09-30,ten,0,,Delivered
ORD103608,VINCI ,,Solar Panel,2023-12-19,-5,999.99,,Pending
ORD101593,Air Liquide,apac,Medical Kit,2024-09-10,100,250.0,,PENDING
ORD101702,,North America,Gas Valve,2023-08-21,,,USD,Pending
ORD106562,,apac,Wind Turbine,2024-02-19,20,-20,,delivered
ORD108446,Bouygues,North America,Concrete Mix,2023-03-27,,,,delivered
ORD102766,Vinci,,Gas Valve,2024-11-22,100,,,Delivered
ORD106734,Sanofi,Europe,Gas Valve,2024-04-24,-5,,eur,delivered
ORD102122,EDF,,Gas Valve,2023-10-04,,0,eur,Delivered
ORD103473,sanofi,EU,Wind Turbine,32/13/2023,,0,USD,Cancelled
ORD105969,Bouygues,EUROPE,solar panel,2024-11-13,20,999.99,usd,
ORD101087,,APAC,Concrete Mix,2024-04-23,,-20,USD,Cancelled
ORD106902,VINCI ,EUROPE,Gas Valve,2023-09-08,10,unknown,eur,Cancelled
ORD107771,Sanofi,apac,Wind Turbine,2023-03-27,50,unknown,USD,Pending
ORD102948,VINCI ,NA,Gas Valve,2024-06-28,-5,100.5,,Pending
ORD106390,VINCI ,apac,Wind Turbine,32/13/2023,10,250.0,USD,Delivered
ORD106110,Air Liquide,NA,Wind Turbine,2023-10-11,-5,unknown,EUR,Delivered
ORD101107,Sanofi,Europe,Gas Valve,2024-02-20,50,,eur,Cancelled
ORD106277,Air Liquide,Europe,Concrete Mix,2024-08-30,,unknown,EUR,Delivered
ORD103880,sanofi,APAC,Concrete Mix,2023-12-01,-5,250.0,USD,Pending
ORD105477,Bouygues,North America,Solar Panel,2024-01-05,100,-20,USD,Delivered
ORD105427,VINCI ,apac,Solar Panel,2024-08-30,,,EUR,Pending
ORD109636,Vinci,EUROPE,Wind Turbine,2023-07-25,10,,,Delivered
ORD109600,Vinci,apac,Solar Panel,2024-02-17,ten,999.99,EUR,Pending
ORD100713,Sanofi,North America,Gas Valve,2023-10-02,,250.0,usd,PENDING
ORD105746,Bouygues,apac,Wind Turbine,2024-08-30,ten,0,usd,Pending
ORD104718,Total Energies,EU,Gas Valve,2024-11-03,10,100.5,usd,delivered
ORD103543,sanofi,EU,Gas Valve,2023-09-05,10,100.5,USD,delivered
ORD108695,sanofi,APAC,Concrete Mix,2024-06-26,ten,unknown,USD,delivered
ORD108131,Bouygues,,Gas Valve,2023-01-15,10,0,,Delivered
ORD108452,Air Liquide,APAC,Gas Valve,2023-10-16,50,100.5,eur,Delivered
ORD102826,Air Liquide,NA,Wind Turbine,2023-06-08,ten,100.5,usd,Delivered
ORD103379,,apac,solar panel,2023-05-01,ten,,usd,Cancelled
ORD105071,Bouygues,North America,Solar Panel,2024-04-24,,250.0,,Cancelled
ORD104335,edf,NA,Medical Kit,2023-06-16,-5,100.5,,Cancelled
ORD105718,Sanofi,EU,solar panel,2024-10-16,20,unknown,USD,PENDING
ORD108850,sanofi,North America,solar panel,2023-09-22,ten,999.99,usd,delivered
ORD101760,,,Gas Valve,2023-06-27,100,,USD,delivered
ORD108317,Sanofi,,Medical Kit,2024-02-03,50,unknown,eur,Cancelled
ORD102012,Bouygues,APAC,Wind Turbine,2024-11-19,10,999.99,,delivered
ORD107690,,EUROPE,Medical Kit,2024-09-20,20,unknown,eur,PENDING
ORD109258,,apac,Concrete Mix,2023-10-03,,250.0,usd,Cancelled
ORD104119,sanofi,North America,solar panel,2023-02-20,10,100.5,EUR,
ORD107873,Air Liquide,APAC,Concrete Mix,2024-04-26,-5,-20,usd,delivered
ORD102648,,apac,Wind Turbine,2023-03-23,-5,999.99,USD,Delivered
ORD105269,Sanofi,apac,solar panel,32/13/2023,50,-20,,PENDING
ORD105362,,,Concrete Mix,2024-05-03,50,0,EUR,PENDING
ORD103131,VINCI ,NA,solar panel,2024-07-23,50,unknown,EUR,Cancelled
ORD102453,Bouygues,NA,Gas Valve,2023-01-27,,-20,USD,delivered
ORD106739,Total Energies,North America,Gas Valve,2024-04-14,20,100.5,EUR,Pending
ORD107925,edf,apac,solar panel,2024-09-04,20,,USD,PENDING
ORD108011,Bouygues,North America,Solar Panel,2024-04-11,,unknown,USD,
ORD100119,sanofi,APAC,solar panel,2024-02-23,,0,USD,Cancelled
ORD109236,sanofi,Europe,solar panel,2024-05-11,20,999.99,eur,Delivered
ORD109326,VINCI ,NA,Solar Panel,32/13/2023,ten,,,Delivered
ORD107131,sanofi,North America,Wind Turbine,2023-08-24,100,250.0,EUR,
ORD100335,Sanofi,Europe,Concrete Mix,32/13/2023,,100.5,USD,Pending
ORD101660,Bouygues,Europe,Solar Panel,2024-09-08,50,100.5,EUR,PENDING
ORD109542,Vinci,Europe,Medical Kit,2023-03-19,-5,100.5,usd,delivered
ORD101078,Bouygues,,Wind Turbine,2023-08-05,20,999.99,eur,Delivered
ORD102470,,,Wind Turbine,2023-03-18,-5,250.0,eur,Cancelled
ORD104924,sanofi,North America,solar panel,2024-09-11,ten,unknown,,PENDING
ORD106137,Bouygues,EUROPE,solar panel,2024-01-12,20,100.5,,Cancelled
ORD100970,,EUROPE,Medical Kit,2023-09-29,10,0,eur,Cancelled
ORD104412,Bouygues,EU,Solar Panel,2023-04-16,-5,-20,USD,
ORD109069,sanofi,,Concrete Mix,2024-02-29,-5,999.99,EUR,Pending
ORD103903,,APAC,Concrete Mix,2023-02-24,20,-20,USD,Pending
ORD107951,,North America,Wind Turbine,2023-01-19,100,100.5,usd,Cancelled
ORD103353,VINCI ,APAC,Wind Turbine,32/13/2023,20,unknown,eur,PENDING
ORD103238,,EUROPE,solar panel,2024-05-24,ten,100.5,usd,Pending
ORD100106,sanofi,APAC,Solar Panel,2024-07-09,10,-20,,delivered
ORD105339,Total Energies,apac,Medical Kit,2023-12-03,10,0,eur,Cancelled
ORD109625,Bouygues,North America,Gas Valve,2023-06-03,-5,unknown,EUR,Cancelled
ORD101339,Air Liquide,APAC,solar panel,2024-08-29,ten,100.5,eur,Delivered
ORD100450,Vinci,NA,solar panel,2023-11-27,-5,-20,,Cancelled
ORD107737,Total Energies,Europe,Wind Turbine,2023-09-12,100,,,delivered
ORD102168,EDF,North America,Gas Valve,2024-09-05,20,,usd,Cancelled
ORD109314,Bouygues,apac,Solar Panel,2024-01-18,100,unknown,,delivered
ORD109399,Sanofi,apac,Wind Turbine,2023-11-17,,999.99,EUR,
ORD105712,Air Liquide,EUROPE,Wind Turbine,32/13/2023,10,unknown,USD,Pending
ORD107077,EDF,North America,solar panel,32/13/2023,100,999.99,eur,delivered
